ccf_id,control_domain,control_name,control_description,nist_cybersecurity,bsi_c5,cis_v8,mlps,iso_22301,cyber_essentials_uk,ens,iso_27001,iso_27002,iso_27017,iso_27018,tx_ramp_L1,fedramp_tailored,fedramp_moderate,hipaa_security,irap,ismap,mas,pci_dss_v4,kfsi,soc_2,nist_cybersecurity_ref,bsi_c5_ref,cis_v8_ref,mlps_ref,iso_22301_ref,cyber_essentials_uk_ref,ens_ref,iso_27001_ref,iso_27002_ref,iso_27017_ref,iso_27018_ref,tx_ramp_L1_ref,fedramp_tailored_ref,fedramp_moderate_ref,hipaa_security_ref,irap_ref,ismap_ref,mas_ref,pci_dss_v4_ref,kfsi_ref,soc_2_ref
CRY-05,Cryptography,Encryption of Data in Transit,Organization restricted data that is transmitted over public networks is encrypted.,X,X,X,X,,,X,,,,X,X,X,X,X,X,X,X,X,X,X,"PR.DS-2
PR.DS-5","COS-08
CRY-01
CRY-02
OPS-14
PI-01",3.10,"8.1.4.8
8.1.5.4
8.2.4.5 (a)",,,"24

25

73

74

75

76

77

91

94

95

96

97

98

101

102

103",,,,A.11.2,"IA-05 (01)
IA-07","IA-05 (01)
IA-07
SC-08
SC-08 (01)","IA-05 (01)
IA-07","164.312(a)(2)(i)
164.312(a)(2)(iv)
164.312(c)(1)
164.312(e)(1)
164.312(e)(2)(i)
164.312(e)(2)(ii)","ISM-1059
ISM-1552
ISM-1277
ISM-0571
ISM-0572
ISM-1589
ISM-1781
ISM-0457
ISM-0469
ISM-0465
ISM-0467
ISM-0263
ISM-0958
ISM-1293","10.1.1.1
13.2.1.1
13.2.1.3
13.2.1.4
13.2.1.6
13.2.3.1
14.1.1.11
14.1.2.4
14.1.2.5
14.1.2.6
14.1.2.7
14.1.2.8
14.1.2.9
14.1.2.10
14.1.2.11
14.1.3.1
14.1.3.2
14.1.3.3
14.1.3.4
18.1.5.1
10.1.1.5
10.1.1.7
13.2.3.2
13.2.1.8
13.2.1.13
18.1.5.5",11.1,4.2,10.2.1,"CC6.1
CC6.7"
CRY-06,Cryptography,Encryption of Data at Rest,Organization restricted data at rest is encrypted.,,X,X,X,,,X,,,,,,X,X,X,X,X,X,X,X,X,,"COS-08
CRY-01
CRY-03
PSS-07","3.11
11.3",8.1.4.8,,,"4

24

25

73

74

91

94

95

96

97",,,,,,"SC-28
SC-28 (01)","SC-28
SC-28 (01)","164.312(a)(2)(iv)
164.312(c)(1)
164.312(e)(2)(ii)","ISM-1597
ISM-1402
ISM-1080
ISM-0457
ISM-0460
ISM-0459","8.2.3.1
8.2.3.2
8.2.3.3
8.2.3.4
8.2.3.5
8.2.3.6
8.2.3.7
10.1.1.1
14.1.3.5
10.1.1.5
10.1.1.7
18.1.5.5","8.4
11.1","3.3.2, 3.5, 3.5.1, 3.5.1.1",10.2.1,"CC6.1
CC6.7"
CRY-07,Cryptography,Approved Cryptographic Technology,"Where applicable, strong industry standard cryptographic ciphers and keys with an effective strength greater than 112 bits are required for cryptographic security operations.",,X,X,X,,,X,,X,,,,X,,,X,X,,X,,,,"CRY-02
CRY-04
IDM-08",3.11,"8.1.2.2
8.1.9.3
8.1.10.9
8.2.4.4",,,82,,8.24,,,,"SC-12
SC-13",,,"ISM-0955
ISM-1597
ISM-1402
ISM-1552
ISM-0457
ISM-0994
ISM-0472
ISM-1446
ISM-0474
ISM-1761
ISM-1762
ISM-0475
ISM-1763
ISM-1764
ISM-0476
ISM-1765
ISM-1766
ISM-1767
ISM-1768
ISM-1769
ISM-1770
ISM-0479
ISM-0481
ISM-1139
ISM-1369
ISM-1370
ISM-1372
ISM-1448
ISM-1373
ISM-1374
ISM-1375
ISM-1553
ISM-1453
ISM-1506
ISM-1771
ISM-1000","10.1.1.6
13.2.3.4
10.1.1.5
10.1.1.7
10.1.1.8
10.1.2.2
18.1.5.3
18.1.5.4
18.1.5.5",,"4.2.1, A3.2.6",,
CRY-08,Cryptography,Key Repository Access,Access to the cryptographic keystores is limited to authorized personnel.,,X,,,,,X,,X,,,X,,,X,,X,X,X,X,X,,"CRY-01
CRY-03
CRY-04
",,,,,"24

25

38

39

94

95

96

97",,8.24,,,SC-12,,,164.308(a)(5)(ii)(D),,"9.2.4.1
10.1.1.2
10.1.2.1
10.1.2.3
10.1.2.4
10.1.2.5
10.1.2.6
10.1.2.7
10.1.2.8
10.1.2.9
10.1.2.10
10.1.2.11
10.1.2.12
10.1.2.13
10.1.2.14
10.1.2.15
10.1.2.16
10.1.2.17
10.1.2.18
18.1.3.3","9.2
10.2","3.7.1, 3.7.2, 3.7.3",10.2.2,CC6.1
CRY-09,Cryptography,Key Store Review,Management reviews and authorizes key store locations.,,,,,,,,,,,,X,,,,,X,,X,,,,,,,,,,,,,,SC-12,,,,,9.4.3.8,,3.7.3,,
CRY-10,Cryptography,Full Disk Encryption Access,"Where full disk encryption is used, logical access must be managed independently of operating system authentication; decryption keys must not be associated with user accounts.",,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,AC-19 (05),,,,,"3.5.1.2, 3.5.1.3",,
CRY-11,Cryptography,Key Custodians Agreement,Cryptographic Key Custodians�and�Cryptographic Materials Custodians (CMC) acknowledge in writing or electronically that they understand and accept their cryptographic-key-custodian responsibilities.,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,,,ISM-0507,6.1.1.13.PB,,3.6.1,,
CRY-12,Cryptography,Approved Certificate Authorities,Organization restricts the use of digital certificates to those that are signed by approved certificate authorities; a certification path to an accepted trust anchor is established.,,,,X,,,,,,,,,,X,,X,X,,X,,,,,,8.3.4.2,,,,,,,,,,IA-05 (02),,"ISM-1471
ISM-1674
ISM-1675
ISM-1676
ISM-1324
ISM-1323
ISM-1327",14.1.3.6,,"4.2.1, 4.2.1.1, 8.3.11",,
CRY-13,Cryptography,Installation of Software: Certificate Verification,Digital Certificates are verified by information system components prior to installation on the production network.,,,,,,,,,,,,X,X,X,,X,X,,X,,,,,,,,,,,,,,CM-11,CM-11,CM-11,,"ISM-1674
ISM-1675
ISM-1676",14.1.3.6,,"4.2.1, 4.2.1.1, 8.3.11",,
CRY-14,Cryptography,Public Key Infrastructure-based Authentication,"Information systems are configured to follow an established certification path to an accepted trust anchor; in the case of network failure, a local cache of revocation data is maintained to support validation.",,,,,,,,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,,IA-05 (02),,"ISM-1324
ISM-1323
ISM-1327",,,"4.2.1, 4.2.1.1, 8.3.11",,
CRY-15,Cryptography,Software Signing,Organization uses a software signing infrastructure to restrict access to organization�s code signing private keys used to sign organization authorized software builds.,,,X,,,,,,X,,,,,,,,,,,,,,,2.7,,,,,,8.24,,,,,,,,,,,,
DM-01,Data Management,Data Classification Criteria,"Organization's data classification criteria are periodically reviewed, approved by management, and communicated to authorized personnel; the data security management team determines the treatment of data according to its designated data classification level.",X,X,X,X,,,X,,X,,X,X,X,X,X,X,X,X,X,X,X,ID.AM-5,"AM-06
CRY-01
OPS-11
OPS-12","3.1
3.7","8.1.9.1
8.1.10.2",,,"4

91

92

93",,5.12,,"A.10.12

A.10.2

A.10.4

A.10.5

A.10.6

A.10.7

A.11.2","MP-06
RA-02
SI-12","MP-06
RA-02
SI-12","MP-06
RA-02
SI-12",164.308(a)(1)(i),"ISM-0810
ISM-1083
ISM-0393
ISM-0462","8.2.1.1
8.2.1.2
8.2.1.3
8.2.1.4
8.2.1.5
8.2.1.6
8.2.1.7
8.2.1.8
8.2.1.9
8.2.1.10
8.2.2.1
8.2.2.2
8.2.2.3
8.2.2.4
8.2.2.5
8.2.2.6
8.2.3.1
8.3.1.1
18.1.3.1
18.1.3.6
18.1.3.12
7.1.2.4","3.3
11.1",3.2.1,"3.1.1
10.1.1","CC3.2
CC6.1
CC6.5
C1.1"
DM-02,Data Management,Data Inventory,"Organization should identify, label and classify Data based on the Data Classification Criteria.",X,X,X,X,,,X,,X,,X,X,X,X,X,X,X,X,X,X,X,ID.AM-5,"AM-06
CRY-01
OPS-11
OPS-12","3.1
3.7","8.1.9.1
8.1.10.2",,,"4

91

92

93",,5.12,,"A.10.12

A.10.2

A.10.4

A.10.5

A.10.6

A.10.7

A.11.2","MP-06
RA-02
SI-12","MP-06
RA-02
SI-12","MP-06
RA-02
SI-12",164.308(a)(1)(i),"ISM-0810
ISM-1083
ISM-0393
ISM-0462","8.2.1.1
8.2.1.2
8.2.1.3
8.2.1.4
8.2.1.5
8.2.1.6
8.2.1.7
8.2.1.8
8.2.1.9
8.2.1.10
8.2.2.1
8.2.2.2
8.2.2.3
8.2.2.4
8.2.2.5
8.2.2.6
8.2.3.1
8.3.1.1
18.1.3.1
18.1.3.6
18.1.3.12
7.1.2.4","3.3
11.1",3.2.1,"3.1.1
10.1.1","CC3.2
CC6.1
CC6.5
C1.1"
DM-03,Data Management,Terms of Service,Consent is obtained for Organization's Terms of Service (ToS) prior to collecting personal information and when the ToS is updated.,,,,X,,,,,,,,,,,,,X,,,X,,,,,8.2.4.5,,,,,,,,,,,,,16.1.7.13.PB,,,10.1.2,
DM-04,Data Management,Personal Information Access Requests,"In accordance with Organization policy, upon request, authenticated individuals are provided with a copy of their personal information or disclosures of their personal information in an understandable form and within the defined timeframe.",,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,A.1.1,,,,,,,,,10.1.5,
DM-05,Data Management,Personal Information Deletion Requests,"In accordance with Organization policy, Organization processes requests for the deletion of personal information.",,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,A.1.1,,,,,,,,,10.1.6,
DM-06,Data Management,External Privacy Inquiries,"In compliance with Organization policy, Organization reviews privacy-related inquiries, complaints, and disputes.",,,,,,,X,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,
DM-07,Data Management,Test Data Sanitization,Restricted data is redacted prior to use in a non-production environment.,,X,,,,,X,,X,,,,,,,X,X,,X,X,,,DEV-10,,,,,"87

88

89

90",,8.33,,,,,,,"ISM-1420
ISM-1273
ISM-1274","14.3.1.1
12.1.4.9
14.3.1.2
14.3.1.3
14.3.1.4
14.3.1.5
14.3.1.6",,"6.5.5, 6.5.6",9.1.2,
DM-08,Data Management,Personal Information Updates,Organization allows authenticated users to review and update their personal information.,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,A.1.1,,,,,,,,,,
DM-09,Data Management,Credit Card Data Restrictions,"Organization does not store full track credit card data, credit card authentication information, credit card verification code, or credit personal identification number (PIN) which Organization processes for payment.",,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,"3.3, 3.3.1, 3.3.1.1, 3.3.1.2, 3.3.1.3",,
DM-10,Data Management,Primary Account Number Data Restrictions,Organization restricts primary account number (PAN) data such that only the first six and last four digits are displayed; authorized users with a legitimate business need may be provided the full PAN.,,,,,,,,,X,,,,,X,,,,,X,,,,,,,,,,,8.11,,,,,,,,,,"3.4, 3.4.1, 3.4.2",,
DM-11,Data Management,Personal Information Inventory,Organization maintains a documented inventory of media containing personal information.,,,X,,,,,,,,,,,X,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,
DM-12,Data Management,Changes to Data at Rest,Organization uses mechanisms to detect direct changes to the integrity of customer data and personal information; Organization takes action to resolve confirmed unauthorized changes to data.,,,X,X,,,,,,,,,,X,,,,,X,X,,,,3.12,"8.1.4.11
8.2.4.5",,,,,,,,,,"SC-04
SI-07",,,,,"11.6, 11.6.1","8.1.3
10.1.3",
DM-13,Data Management,Data Processing Integrity,System checks are in place to ensure both complete and accurate capture of data in process.,,,X,X,,,,,,,,,,,,,,,,X,,,,3.12,"8.1.2.2
8.1.4.4
8.1.4.7
8.2.4.5",,,,,,,,,,,,,,,,10.1.3,
DM-14,Data Management,Secure Disposal of Media,Organization securely erases media containing decommissioned restricted data and obtains a certificate or log of erasure; media pending erasure are stored within a secured facility.,X,X,X,X,,,X,,X,,,X,X,X,X,X,X,X,X,X,X,PR.IP-6,"AM-01
AM-04",3.5,"8.1.4.10
8.1.10.4
8.2.4.7",,,"85

86",,"7.14

8.10",,,"MA-02
MP-06","MA-02
MP-06
SR-12","MA-02
MP-06
MP-04","164.310(d)(2)(i)
164.310(d)(2)(ii)","ISM-1741
ISM-0311
ISM-1742
ISM-1223
ISM-1550
ISM-0316
ISM-1642
ISM-0363
ISM-1361
ISM-0370
ISM-0371
ISM-0372
ISM-0373
ISM-0840
ISM-0374
ISM-0375","8.3.2.1
8.3.2.2
8.3.2.3
8.3.2.4
8.3.2.5
8.3.2.6
8.3.2.7
8.3.2.8
11.2.7.1
11.2.7.2
11.2.7.3
11.2.7.4.PB",11.1,"3.2.1, 9.4.6, 9.4.7","8.1.2
11.2.3","CC6.5
C1.2"
DM-15,Data Management,Customer Data Retention and Deletion,Organization purges or archives data according to customer requests or legal and regulatory mandates.,,X,X,,,,X,,,X,,,,,,,X,X,X,X,X,,PI-03,3.5,,,,99,,,CLD.8.1.5,,,,,,,"12.7.1.4
13.2.1.7",11.1,"3.2.1, 9.4.6, 9.4.7",10.1.1,"C1.1
C1.2"
DM-16,Data Management,Removal of PHI from Media,Organization removes electronic protected health information from electronic media if the media is made available for re-use.,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,164.310(d)(2)(ii),,,,,,
DM-17,Data Management,Secure Disposal of Media: Testing,Organization tests sanitization procedures and equipment annually for effectiveness.,,,,,,,,,,,,X,X,X,,X,,,,,,,,,,,,,,,,,MP-06,"MP-06
SR-12",MP-06,,"ISM-0313
ISM-1741
ISM-0311
ISM-1742
ISM-1223
ISM-1550
ISM-0316
ISM-1600
ISM-0947
ISM-0348
ISM-0351
ISM-1735
ISM-0368
ISM-0370
ISM-0371
ISM-0372
ISM-0373
ISM-0374
ISM-0375",,,,,
DM-18,Data Management,Personal Information Retention and Deletion,Organization retains and deletes personal information from Organization and service provider systems in accordance with Organization policy.,,,X,,,,,,,,X,,,,,,X,,,X,,,,"3.4
15.7",,,,,,,,A.9.3,,,,,,"12.3.1.15
18.1.3.8
18.1.3.9
18.1.3.10
18.1.3.11",,,"8.1.2
10.1.6",
DM-19,Data Management,Temporary Storage of Personal Information,Temporary files and documents containing personal information are deleted in accordance with a timeframe consistent with Organization policy.,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,A.4.1,,,,,ISM-1245,,,,,
DM-20,Data Management,Social Media,"Sharing Organization restricted data via messaging technologies, social media, and public websites is prohibited.",,,,,,,,,,,,,X,X,,X,X,,X,,,,,,,,,,,,,,,PL-04 (01),PL-04 (01),,"ISM-0820
ISM-1146","8.3.1.10
14.1.1.10",,4.2.2,,
DM-21,Data Management,Publicly Accessible Content,"Organization protects its public information system presence with the following processes: only authorized and trained individuals may post public information, content is reviewed prior to publishing, information on public systems is reviewed periodically, and non-public information is removed from public systems upon discovery.",,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,,,"AC-22
PL-04 (01)","AC-22
IR-09 (02)",,"ISM-1146
ISM-0821
ISM-0824",,,,,
DM-22,Data Management,Data Loss Prevention,"Data loss prevention capabilities are implemented to protect sensitive information as it is stored, transmitted, and processed.",,,X,,,,,,,,,,,,,,,,,X,,,,3.13,,,,,,,,,,,,,,,,,10.1.4,
EM-01,Entity Management,Board of Directors Structure and Purpose,"The Board of Directors provides corporate oversight, strategic direction, and review of management for Organization. The Board of Directors meets at least quarterly and has 3 sub-committees: 
� Audit Committee
� Executive Compensation and Nominating Committee
� Governance Committee",,,,,X,,,X,,,,,,,,,,X,,,X,,,,,4.1,,,5.1,,,,,,,,,,3.1,,,CC1.1
EM-02,Entity Management,Audit Committee,"The Audit Committee is governed by a Charter, is independent from Organization Management, composed of outside directors (Industry Experts), and meets quarterly. The Audit Committee oversees: 
�Financial Statement Quality 
�Enterprise Risk Management
�Regulatory & Legal Compliance
�Internal Audit Functions
�Information Security Functions
�External Audit Functions",,,,X,X,,,X,X,,,,,,,,X,X,,,X,,,,8.1.7.4,"4.1

4.2.2(a)

4.2.2(b)
",,,"5.1
5.3",5.31,,,,,,,,"3.1.4.2
3.1.5.1
4.4.2.1
6.1.4.1
6.1.4.2
6.1.4.3
6.1.4.4
6.1.4.5
6.1.4.6
18.1.1.1
18.1.1.2
18.1.1.3
18.1.1.5.P",3.1,,,CC1.2
EM-03,Entity Management,Organizational Structure,Organization Management ensures that its organization is aligned with the corporate strategy by assigning key managers with responsibilities to execute the corporate strategy.,,,,,,,,X,X,,,,,,,X,,,,,,,,,,,,,5.1a,5.2,,,,,,,"ISM-1617
ISM-0717
ISM-0039",,,,,
EM-04,Entity Management,Operating Plans,"Annual operating plans are aligned with Corporate Objectives, which are established on an annual basis during the Company's planning process. Priorities are set and plans are communicated appropriately.",,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,"5.1 (a)
7.1",,,,,,,,ISM-0724,,,,,
EM-05,Entity Management,Cyber Security Insurance,Organization purchases cyber security insurance to mitigate risk of material financial impact that could result from a cyber security event.,,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,7.1,,,,,,,,,"6.2.2.18
14.1.2.12
14.1.2.13",4.4,,,CC9.1
EM-06,Entity Management,Internal Audit Function,"Quarterly, the Chief Audit Executive meets with the Audit Committee to review key risk issues. The Audit Committee approves the annual Internal Audit Plan. Results of quarterly audits and subsequent issue tracking summaries are presented to the Audit Committee.",,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,9.2,,,,,,,,,"3.1.4.1
12.7.1.2
14.1.1.2
18.2.1.7
18.2.1.12.P
18.2.1.13.P
18.2.2.3
18.2.2.4
18.2.2.5
18.2.2.6",,,,
EM-07,Entity Management,Financial Control Review,Internal financial control assessment results are reported to the Audit Committee by the Chief Audit Executive on a quarterly basis and support the CEO/CFO 302/404 certifications.,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,9.2,,,,,,,,,,,,,
EM-08,Entity Management,Information Security Function,"Quarterly, the Chief Security Officer meets with the Audit Committee to review key Information Security issues. Results of continuous monitoring activities and current security compliance status are presented to the Audit Committee and the Board of Directors.",,,,X,,,,X,,,,,,,,X,X,,,,,,,,8.1.7.4,,,,9.3,,,,,,,,ISM-1478,"3.1.4.4
3.1.6.1",,,,
EM-09,Entity Management,Information Security Compliance Review,Information Security compliance results are reported to the Audit Committee by the Chief Security Officer on a quarterly basis and support information security compliance certifications,,,,,,,,,,,,,,X,,,X,X,,X,X,,,,,,,,,,,,,,AU-07,,,"4.6.2.6
18.2.1.6
18.2.1.8
18.2.2.7","3.1
4.5
15.1",,1.3.1,CC4.2
EM-10,Entity Management,Common Controls Framework,"Organization maintains a Common Control Framework (CCF) that is used in the implementation of control measures as a risk mitigation strategy to support organization operations, technology infrastructure, and security management activities.",,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,"CC5.1
CC5.2"
EM-11,Entity Management,Service Agreement,"When customers sign-up for Organization�s product and services, the customer is required to acknowledge a service agreement which includes considerations for protecting security, availability, confidentiality and indicates the responsibilities of the users and organization�s responsibilities and commitments.",,X,,,,,,,,,,,,,,,,,,,X,,"COM-01
OIS-02
OIS-03
PI-02",,,,,,,,,,,,,,,,,,,"CC2.3
CC3.1"
IAM-01,Identity and Access Management,Logical Access Provisioning,Logical access provisioning to information systems requires approval from appropriate personnel.,X,X,X,X,,X,X,,X,,X,X,X,X,X,X,X,X,X,X,X,PR.AC-1,"DEV-07
IDM-01
IDM-02
IDM-06
OIS-04
OPS-16","5.6
6.1
6.7","8.1.3.2
8.1.4.2
8.1.7.3
8.2.3.1
8.2.4.2 (a)",,Secure Configuration,"2

3

4

14

15

16

17

88

89

90",,"5.9

5.15",,A.10.9,"AC-01
AC-02
AC-03
CP-09
IA-04
IA-05
MP-02","AC-01
AC-02
AC-03
CP-09
IA-04
IA-05
MP-02
CM-05","AC-01
AC-02
AC-03
CP-09
IA-04
IA-05
MP-02
AC-04 (21)","164.308(a)(3)(i)
164.308(a)(3)(ii)(A)
164.308(a)(3)(ii)(B)
164.308(a)(4)(i)
164.308(a)(4)(ii)(B)
164.308(a)(4)(ii)�
164.312(a)(1)
164.312(c)(1)","ISM-1733
ISM-1610
ISM-1611
ISM-1612
ISM-1614
ISM-1615
ISM-1271
ISM-1272","6.1.2.1
9.1.1.1
9.1.1.2
9.1.1.3
9.2.1.1
9.2.1.3
9.2.1.4
9.2.1.5
9.2.2.2
9.2.2.3
9.2.2.4
9.2.2.5
9.2.2.6
9.2.2.7
9.2.6.2
9.2.6.3
9.2.6.4
9.3.1.2
9.4.1.1
9.5.1.1.P
12.6.2.4
15.1.1.1","9.1
11.4","7.2, A3.4","2.1.2
7.1.1
8.3.1","CC6.2
CC6.3"
IAM-02,Identity and Access Management,Change of Access Notification,Changes made to system access trigger a notification that is sent to designated personnel.,,,X,,,,,,,,,X,X,X,,X,,,X,X,,,,3.14,,,,,,,,,AC-02,AC-02,"AC-02
AC-02 (04)",,"ISM-1650
ISM-1651
ISM-1652",,,"7.2.3, 8.2.4",7.3.2,
IAM-03,Identity and Access Management,Logical Access De-provisioning,"Logical access that is no longer required in the event of a termination is documented, communicated to management, and revoked.",X,X,X,X,,X,X,,,,,X,X,X,X,X,X,X,X,X,X,PR.AC-1,"IDM-01
IDM-02
IDM-03
IDM-04","6.2
15.7","8.1.4.2
8.1.8.4",,"Secure Configuration

User Access Control ","2

3

14

15

16

17

60",,,,,"AC-02
PS-04","AC-02
PS-04","AC-02
PS-04
AC-02 (02)","164.308(a)(3)(i)
164.308(a)(3)(ii)(B)
164.308(a)(3)(ii)�
164.308(a)(4)(i)
164.308(a)(4)(ii)�
164.312(a)(1)
164.312(c)(1)","ISM-0430
ISM-1591
ISM-1404
ISM-1648
ISM-1716
ISM-1647
ISM-1734","7.3.1.1
7.3.1.2
7.3.1.3
9.2.1.1
9.2.2.1
9.2.6.1
9.2.6.5
9.2.6.6
9.4.1.1
9.5.1.1.P",9.1,"8.2.4, 8.2.5","2.1.3
7.1.1","CC6.2
CC6.3
"
IAM-04,Identity and Access Management,Logical Access De-provisioning: Notification,The People Resources system sends a notification to relevant personnel in the event of a termination of an information system user.,,,X,X,,,,,,,,X,X,X,,,,,X,,,,,6.2,8.1.8.2,,,,,,,,PS-04,PS-04,"PS-04
AC-02 (02)",,,,,"8.2.4, 8.2.5",,
IAM-05,Identity and Access Management,Logical Access Review,Organization performs account and access reviews on a quarterly basis; corrective action is taken where applicable.,,X,X,X,,X,X,,X,,,X,X,X,X,X,X,X,X,X,X,,"IDM-01
IDM-02
IDM-03
IDM-04
IDM-05
OIS-04
OIS-07","5.1
5.3
5.5
6.8","8.1.3.2
8.1.4.2
8.1.10.6
8.2.3.1
8.2.4.2 (a)",,"Secure Configuration

User Access Control 

User Access Control ","15

17",,5.18,,,"IA-05
PS-05","IA-05
PS-05","IA-05
PS-05
AC-02 (03)","164.308(a)(3)(i)
164.308(a)(3)(ii)(A)
164.308(a)(3)(ii)(B)
164.308(a)(3)(ii)�
164.308(a)(4)(i)
164.308(a)(4)(ii)�
164.312(a)(1)","ISM-0407
ISM-1610
ISM-1271
ISM-1272","9.2.5.1
9.2.5.2
9.2.5.3
9.2.5.4
9.2.5.5
9.2.5.6
9.4.1.1
9.4.4.9
11.1.2.1
11.1.2.2
12.5.1.17",9.1,"8.2.6, A3.4.1",7.2.1,"CC6.2
CC6.3"
IAM-06,Identity and Access Management,Role Change: Access De-provisioning,"Upon notification of an employee reassignment or transfer, management reviews the employee's access for appropriateness. Access that is no longer required is revoked and documented.",,,X,X,,,,,,,,X,X,X,,,,,X,X,,,,6.2,8.1.10.6,,,,,,,,"AC-02
PS-05","AC-02
PS-05","AC-02
PS-05",,,,,8.2.4,2.1.3,
IAM-07,Identity and Access Management,Shared Logical Accounts,Organization restricts the use of shared and group authentication credentials. Authentication credentials for shared and group accounts are reset every 90 days.,,X,,X,,,,,,,,,,,X,X,X,,X,,X,,CRY-01,,8.3.2.3,,,,,,,,,,,164.308(a)(5)(ii)(D),ISM-0415,"9.2.4.2
9.2.4.3
9.2.4.4
9.2.4.5
9.2.4.6
9.2.4.7
9.2.4.8
9.3.1.1",,"8.2.2, 8.2.3, 8.2.6",,CC6.1
IAM-08,Identity and Access Management,Shared Logical Accounts: Group Member ,Passwords for shared and group accounts are reset when a member of the shared group leaves.,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,"8.2.2, 8.2.5",,
IAM-09,Identity and Access Management,Shared Account Restrictions,"Where applicable, the use of generic and shared accounts to administer systems or perform critical functions is prohibited; generic user IDs are disabled or removed.",,,X,,,,,,,,,,,X,,X,X,,X,,,,,4.7,,,,,,,,,,,AC-02 (09),,"ISM-0380
ISM-0383",9.2.3.9,,"2.2.2, 8.2.2",,
IAM-10,Identity and Access Management,Role Change: People Resources Notification,The People Resources system sends a notification to relevant management and relevant information system administrators in the event of an employee reassignment or transfer of an information system user.,,,X,,,,,,,,,,,,,,,,X,,,,,6.1,,,,,,,,,,,,,,,,7.2.3,,
IAM-11,Identity and Access Management,Temporary Account Termination,Temporary and emergency accounts are automatically terminated 90 days from the date they are generated.,,,,,,X,,,,,,,,X,,X,,,,,,,,,,,"Secure Configuration

User Access Control ",,,,,,,,AC-02 (01),,ISM-1610,,,,,
IAM-12,Identity and Access Management,Unique Identifiers,Organization requires unique identifiers for user accounts and prevents identifier reuse.,,X,X,X,,,X,,X,,X,X,X,X,X,X,X,X,X,,X,,"COS-06
IDM-01
OPS-24
PSS-07",3.14,8.1.4.1,,,"15

17

21

22

23

24

25",,5.16,,"A.10.8

A.10.10

","AC-02
IA-04
IA-05
IA-08","AC-02
IA-04
IA-05
IA-08","AC-02
IA-04
IA-05
IA-08
IA-03
IA-04 (04)","164.312(a)(1)
164.312(a)(2)(i)
164.312(d)","ISM-0414
ISM-1583
ISM-1685
ISM-1262","9.4.1.1
9.4.1.2
9.4.1.3
9.4.1.4
9.4.1.5
9.4.1.6
9.4.1.7
9.4.2.1",9.1,8.2.1,,CC6.1
IAM-13,Identity and Access Management,Password Authentication,User and device authentication to privileged information systems is protected by passwords that meet Organization's password complexity requirements.,,X,,X,,X,X,,X,,,X,X,X,X,,X,X,X,X,X,,"COS-05
IDM-01
IDM-08
IDM-09
PSS-07",,8.1.10.9,,"Secure Configurations

User Access Control","15

17

18

19

20

21

22

23

24

25",,"5.17

8.5",,,"AC-14
IA-05 (01)","AC-14
IA-05 (01)
IA-02 (08)","AC-14
IA-05 (01)","164.308(a)(5)(ii)(D)
164.312(d)",,"9.4.2.3
9.4.2.5
9.4.2.6
9.4.2.7
9.4.2.8
9.4.2.13
9.4.3.1
9.4.3.2
9.4.3.3
9.4.3.4
9.4.3.5
9.4.3.6
9.4.3.7","9.1
9.3","8.3.5, 8.3.6, 8.3.9","7.3.2
10.2.1",CC6.1
IAM-14,Identity and Access Management,Multifactor Authentication,"Multi-factor authentication is required for:
� remote VPN sessions
� access to trusted data environments",X,X,X,X,,,X,,,,,X,X,X,X,X,X,X,X,X,X,PR.AC-7,"COS-02
COS-04
COS-05
COS-08
IDM-01
IDM-08
IDM-09
OPS-14
OPS-16","5.2
6.3
6.4
6.5
13.5","8.1.4.1
8.2.4.1
",,,"15

17

21

22

23

24

25

57

68

69",,,,,"AC-20
IA-02 (01)
IA-08
MA-04","AC-20
IA-02 (01)
IA-02 (12)
IA-08
MA-04
IA-02 (02)","AC-20
IA-02 (01)
IA-02 (12)
IA-08
MA-04
IA-02 (02)",164.312(d),"ISM-0974
ISM-1173
ISM-1504
ISM-1679
ISM-1680
ISM-1681
ISM-1505
ISM-1401
ISM-1682
ISM-1559
ISM-1683
ISM-1684",9.4.2.2.B,"9.1
9.3","8.4, 8.4.1, 8.4.2, 8.4.3",7.3.1,"CC6.1
CC6.6"
