ccf_id,control_domain,control_name,control_description,control_theme,control_type,policy_standard,implementation_guidance,testing_procedure,audit_artifacts
CRY-11,Cryptography,Key Custodians Agreement,Cryptographic Key CustodiansandCryptographic Materials Custodians (CMC) acknowledge in writing or electronically that they understand and accept their cryptographic-key-custodian responsibilities.,Process,Preventive,Cryptographic Management Policy,"1. Ensure that Key Custodian Acknowledgements are signed by cryptographic key custodians, which will provide assurance of appropriate acknowledgement to the key custodian responsibilities.",1. Obtain and inspect a sample of signed Key Custodian Acknowledgements to validate that cryptographic key custodians have appropriately acknowledged their key custodian responsibilities.,E-CRY-20 
CRY-12,Cryptography,Approved Certificate Authorities,Organization restricts the use of digital certificates to those that are signed by approved certificate authorities; a certification path to an accepted trust anchor is established.,Technology,Preventive,Key Management Policy,1. Establish a process for executing periodic SSL tests to ensure that only digital certificates that are signed by approved certificate authorities are accepted.,"1. Observe a sample of servers and review their SSL test.

2. Observe the SSL test and confirm that only digital certificates that are signed by approved certificate authorities are accepted.",E-CRY-21 
CRY-13,Cryptography,Installation of Software: Certificate Verification,Digital Certificates are verified by information system components prior to installation on the production network.,Technology,Preventive,Key Management Policy,1. Establish a process for executing periodic SSL tests and configuration files to ensure that digital certificates are verified prior to installation on production networks.,"1. Observe a sample of servers and review their SSL test.

2. Observe the SSL test and configuration files and ensure that digital certificates are verified prior to installation on production networks.","E-CRY-21

E-CRY-22" 
CRY-14,Cryptography,Public Key Infrastructure-based Authentication,"Information systems are configured to follow an established certification path to an accepted trust anchor; in the case of network failure, a local cache of revocation data is maintained to support validation.",Technology,Preventive,Key Management Policy,1. Establish a process for executing periodic SSL tests to ensure that the identified Certificate authority is authorized to act as a trust anchor.,"1. Observe a sample of servers and domains and review their SSL test.

2. Observe the Certificate authority and ensure that it is an authorized to act as a trust anchor.",E-CRY-21 
CRY-15,Cryptography,Software Signing,Organization uses a software signing infrastructure to restrict access to organizations code signing private keys used to sign organization authorized software builds.,Technology,Preventive,Secure Development Lifecycle Policy,"1. Ensure that a process is defined and documented for software signing.

2. Ensure that the private keys used for software signing are accessible only to a restricted set of personnel.","1. Inspect and validate that a process is defined and documented for software signing.

2. Validate whether the private keys used for software signing are accessible only to a restricted set of personnel.

3. Validate that periodic access reviews are performed for these keys.","E-CRY-23

E-CRY-24" 
DM-01,Data Management,Data Classification Criteria,"Organization's data classification criteria are periodically reviewed, approved by management, and communicated to authorized personnel; the data security management team determines the treatment of data according to its designated data classification level.",Process,Preventive,Data Management Policy,"1. Ensure that a Data Classification Criteria is defined and documented.

2. Ensure that this criteria is reviewed and approved periodically and appropriate documentation for the review is retained.

3. Ensure that a process is defined and implemented to ensure data is treated according to its data classification level. ","1. Inspect Organization's policy and/or standard to determine whether Organizations data classification criteria is defined.

2. Inspect whether the criteria is periodically reviewed and approved by the management.

3. Validate using sample testing that data is categorized and treated according to its data classification level and defined controls.","E-DM-01

E-DM-02

E-DM-03 " 
DM-02,Data Management,Data Inventory,"Organization should identify, label and classify Data based on the Data Classification Criteria.",Process,Preventive,Data Management Policy,"1. Ensure that a process for identifying data is defined and documented in the organization.

2. Ensure that the data is labelled and classified as per the Data Classification criteria.","1. Inspect and validate in the Organization's policy and/or standard whether a process for identifying data is defined in the organization.

2. Validate for a sample of data, that it is labelled and classified as per the Data Classification criteria.","E-DM-01

E-DM-03 " 
DM-03,Data Management,Terms of Service,Consent is obtained for Organization's Terms of Service (ToS) prior to collecting personal information and when the ToS is updated.,Process,Preventive,Data Management Policy,"1. Ensure that organizations Terms of Service are defined and documented.

2. Ensure that a process is defined for updating the Terms of Service which includes recapturing of consent.

3. Ensure that the consent is taken for the Terms of Service prior to collecting personal information.","1. Inspect and validate whether Terms of Service are defined and documented for the organization.

2. Inspect whether the Terms of Service are updated periodically and ensure that consent is recaptured after updates.

3. For sample of customers validate whether consent was obtained before collection of personal information.","E-DM-04

E-DM-05

E-DM-06" 
DM-04,Data Management,Personal Information Access Requests,"In accordance with Organization policy, upon request, authenticated individuals are provided with a copy of their personal information or disclosures of their personal information in an understandable form and within the defined timeframe.",Process,Preventive,Privacy Policy,"1. Ensure that a process is defined, documented, and communicated for requesting a copy of personal information.

2. Ensure that on request a copy of personal information is provided to authenticated individuals as per the policy.

3. Ensure that the information is provided in an understandable form and in a timely manner as per the policy","1. Inspect and validate whether a documented process is defined, and communicated for requesting a copy of personal information.

2. Validate whether on request a copy of personal information was provided to authenticated individuals.

3. Validate that the information was provided in an understandable form and in a timely manner.","E-PRIV-01

E-DM-07" 
DM-05,Data Management,Personal Information Deletion Requests,"In accordance with Organization policy, Organization processes requests for the deletion of personal information.",Process,Preventive,Privacy Policy,"1. Ensure that a process is defined, documented, and communicated for requesting deletion of personal information.

2. Ensure that on request personal information is deleted as per the policy.","1. Inspect and validate whether a documented process is defined, and communicated for requesting deletion of personal information.

2. Validate whether on request personal information was deleted as per organization's policy.","E-PRIV-01

E-DM-08" 
DM-06,Data Management,External Privacy Inquiries,"In compliance with Organization policy, Organization reviews privacy-related inquiries, complaints, and disputes.",Process,Preventive,Privacy Policy,"1. Ensure that a process is defined, documented and communicated for review of privacy-related inquiries, complaints, and disputes.

2. Ensure that these inquiries, complaints, and disputes are addressed in a timely and well communicated manner.","1. Inspect and validate whether a documented process is defined, and communicated for review of privacy-related inquiries, complaints, and disputes.

2. Validate for a sample whether these inquiries, complaints, and disputes are addressed in a timely and well communicated manner.","E-PRIV-01

E-DM-09" 
DM-07,Data Management,Test Data Sanitization,Restricted data is redacted prior to use in a non-production environment.,Process,Preventive,Secure Development Lifecycle Policy,"1. Ensure that a process is defined, documented, and communicated for redacting or not using production data in test environments.

2. Ensure that sufficient tools and processes exists for creation of dummy test data for testing purposes.","1. Inspect and validate whether a documented process is defined, and communicated for redacting or not using production data in test environments.

2. Validate for a sample, whether any production data is used in test environments.

3. Validate how test data is generated and used for testing.","E-VM-15

E-DM-10" 
DM-08,Data Management,Personal Information Updates,Organization allows authenticated users to review and update their personal information.,Process,Preventive,Data Management Policy,"1. Ensure that a process is defined, documented, and communicated regarding access and update to personal information.

2. Ensure that appropriate justifications are provided for any denied access or update requests.

3. Ensure that a process is defined, documented, and communicated for appealing the denial of access or update request.","1. Inspect and validate whether a documented process exists regarding access and update to personal information.

2. Validate that for any denied access or update requests, appropriate justifications were provided.

3. Inspect and validate whether a documented process exists for appealing the denial of access or update request.

4. Ensure that the access or update request process is well communicated.","E-DM-11

E-DM-12

" 
DM-09,Data Management,Credit Card Data Restrictions,"Organization does not store full track credit card data, credit card authentication information, credit card verification code, or credit personal identification number (PIN) which Organization processes for payment.",Technology,Preventive,Data Management Policy,"1. Ensure that a process is defined and documented for redaction of credit card data.

2. Ensure that the organization does not store full track credit card data, credit card authentication information, credit card verification code, or personal identification number (PIN).",1. Validate that full credit card track data and sensitive authentication data is not stored in the databases of the Organization.,"E-DM-13
" 
DM-10,Data Management,Primary Account Number Data Restrictions,Organization restricts primary account number (PAN) data such that only the first six and last four digits are displayed; authorized users with a legitimate business need may be provided the full PAN.,Technology,Preventive,Data Management Policy,"1. Ensure that a process is defined and documented for redaction of credit card data.

2. Ensure that the organization restricts primary account number (PAN) data such that only the first six and last four digits are displayed.

3. Ensure that a process is defined to provide full PAN to authorized users with a legitimate business need.","1. Inspect and validate whether a documented process exists for redaction of credit card data.

2. Validate that primary account number is stored such that only the first six and last four digits are displayed.

3. Inspect and validate whether a documented process exists to provide full PAN to authorized users with a legitimate business need.","E-DM-01

E-DM-13

E-DM-14" 
DM-11,Data Management,Personal Information Inventory,Organization maintains a documented inventory of media containing personal information.,Process,Preventive,Data Management Policy,"1. Ensure that an inventory of media containing personal information is documented, approved, and communicated to appropriate stakeholders.

2. Ensure that this inventory is reviewed and update periodically.","1. Inspect and validate whether an inventory of media containing personal information is formally documented.

2. Ensure that a process is defined to review and update the inventory periodically.","E-DM-01

E-DM-15" 
DM-12,Data Management,Changes to Data at Rest,Organization uses mechanisms to detect direct changes to the integrity of customer data and personal information; Organization takes action to resolve confirmed unauthorized changes to data.,Technology,Detective,Data Management Policy,"1. Ensure that a process is defined and documented to detect unauthorized changed to customer data.

2. Ensure that appropriate alerts are sent and actions are taken to resolve unauthorized changes.","1. Inspect and validate that a process is defined and documented to detect unauthorized changed to customer data.

2. Validate whether alerts are sent and actions were taken to resolve unauthorized changes.","E-DM-01

E-DM-16" 
DM-13,Data Management,Data Processing Integrity,System checks are in place to ensure both complete and accurate capture of data in process.,Technology,Detective,Data Management Policy,"1. Ensure that a process is defined and documented for ensuring data integrity in transit and at rest

2. Ensure appropriate tests are used to check checksums or hashes to ensure data integrity.","1. Inspect and validate that a process for ensuring data integrity in transit and at rest is defined and documented.

2. Validate and inspect the tests used to check checksums or hashes to ensure data integrity","E-DM-01

E-DM-16" 
DM-14,Data Management,Secure Disposal of Media,Organization securely erases media containing decommissioned restricted data and obtains a certificate or log of erasure; media pending erasure are stored within a secured facility.,Process,Preventive,Data Management Policy,"1. Ensure that requirements for destroying media containing decommissioned restricted data are defined and documented.

2. Ensure that the requirements for maintaining a log of such activities is defined.

3. Ensure that appropriate records are maintained for such activities.

4. Ensure a security facility is designated to store such media prior to erasure.

5. Ensure a certificate of erasure is obtained for such media post erasure completion.","1. Inspect and validate whether requirements for destroying media containing decommissioned restricted data are defined and documented.

2. Inspect and validate that the requirements for maintaining a log of such activities is defined.

3. Validate that appropriate records are maintained for such activities.

4. For a sample of records, validate that a certificate of erasure was obtained for such media post erasure completion.","E-DM-01

E-DM-17" 
DM-15,Data Management,Customer Data Retention and Deletion,Organization purges or archives data according to customer requests or legal and regulatory mandates.,Process,Preventive,Privacy Policy,"1. Ensure that a process is defined, documented, and communicated for requesting deletion or archival of personal information.

2. Ensure that on customer's request or as per legal/regulatory mandates, personal information is deleted/archived as per the policy.","1. Inspect and validate whether a documented process is defined & communicated for requesting deletion/archival of personal information.

2. Validate whether on customer's request or as per legal/regulatory mandates personal information is deleted/archived as per the policy.","E-PRIV-01

E-DM-08" 
DM-16,Data Management,Removal of PHI from Media,Organization removes electronic protected health information from electronic media if the media is made available for re-use.,Process,Preventive,Data Management Policy,"1. Ensure that a process is defined and documented for removal of Protected Health Information from electronic media if the media is made available for reuse.

2. Ensure that validation is done to ensure that no protected health information exists on the media before reuse.","1. Inspect and validate that a process is defined and documented for removal of Protected Health Information from electronic media if the media is made available for reuse.

2. Inspect whether validation is done to ensure that no protected health information exists on the media before reuse.",E-DM-01 
DM-17,Data Management,Secure Disposal of Media: Testing,Organization tests sanitization procedures and equipment annually for effectiveness.,Process,Detective,Data Management Policy,"1. Ensure that a process is defined and documented for testing of sanitization procedures.

2. Ensure that the sanitization procedures are tested annually and appropriate records are maintained.","1. Inspect and validate that a process is defined and documented for testing of sanitization procedures.

2. Validate whether the sanitization procedures were tested annually.","E-DM-01

E-DM-18" 
DM-18,Data Management,Personal Information Retention and Deletion,Organization retains and deletes personal information from Organization and service provider systems in accordance with Organization policy.,Process,Preventive,Data Management Policy,"1. Ensure that a process is defined and documented for retention and deletion of personal information.

2. Ensure that the personal information is retained and deleted as per the process from organization and service provider systems.","1. Inspect and validate that a process is defined and documented for retention and deletion of personal information.

2. Validate whether the personal information was retained and deleted as per the process.","E-DM-01 

E-DM-19" 
DM-19,Data Management,Temporary Storage of Personal Information,Temporary files and documents containing personal information are deleted in accordance with a timeframe consistent with Organization policy.,Process,Preventive,Data Management Policy,"1. Ensure that a process is defined and documented for deletion of temporary files.

2. Ensure that temporary files are deleted within a defined timeframe as per the process.","1. Inspect and validate that a process is defined and documented for deletion of temporary files.

2. Validate the configuration for deletion of temporary files and ensure that the timeframe is as per the process.","E-DM-01

E-DM-20" 
DM-20,Data Management,Social Media,"Sharing Organization restricted data via messaging technologies, social media, and public websites is prohibited.",Process,Preventive,Data Management Policy,"1. Ensure that a process is defined, documented, and communicated which prohibits sharing of restricted data via messaging technologies, social media, and public websites.

2. Ensure that appropriate mechanisms are in place to detect such activities.","1. Inspect and validate whether a process is defined, documented and communicated which prohibits sharing of restricted data via messaging technologies, social media, and public websites.

2. Validate whether appropriate mechanisms are in place to detect such activities and alerts are generated.","E-DM-01

E-DM-21" 
DM-21,Data Management,Publicly Accessible Content,"Organization protects its public information system presence with the following processes: only authorized and trained individuals may post public information, content is reviewed prior to publishing, information on public systems is reviewed periodically, and non-public information is removed from public systems upon discovery.",Process,Preventive,Data Management Policy,"1. Ensure that a process is defined, documented, and communicated regarding publishing of information on public websites.

2. Ensure public information is reviewed periodically.

3. Ensure appropriate process is defined for removing non-public information from public websites.

4. Ensure appropriate access control exists for posting information on public websites.","1. Inspect and validate whether a process is defined, documented, and communicated regarding publishing of information on public websites.

2. Validate whether public information is reviewed periodically.

3. Validate the process for removing non-public information from public websites.

4. Validate that appropriate access control exists for posting information on public websites.","E-DM-01

E-DM-23" 
DM-22,Data Management,Data Loss Prevention,"Data loss prevention capabilities are implemented to protect sensitive information as it is stored, transmitted, and processed.",Technology,Preventive,Logging & Monitoring Standard,"1. Ensure that Data Loss Prevention solution is enabled on systems to protect sensitive data as it is stored, transmitted, and processed.

2. Ensure appropriate alerts are sent and actions are taken to remediate any deviations.","1. Validate whether that Data Loss Prevention solution is enabled on a sample system.

2. Validate whether appropriate alerts are sent and actions are taken to remediate any deviations.","E-DM-22

E-DM-21" 
EM-01,Entity Management,Board of Directors Structure and Purpose,"The Board of Directors provides corporate oversight, strategic direction, and review of management for Organization. The Board of Directors meets at least quarterly and has 3 sub-committees: 
 Audit Committee
 Executive Compensation and Nominating Committee
 Governance Committee",Process,Preventive,Information Systems Operations Policy,"1. Document the Board of Directors responsibilities and members within a charter.

2. Ensure Board of Directors meet at least quarterly, and document meeting minutes of each meeting.

3. Ensure Board of directors have at least 3 sub-committees defined and formed, audit committee, executive compensation and nominating committee, and governance committee.","1. Inspect that the board of directors information in the form of Charter is available on the Organization governance website.

2. Validate that board of directors meet at least quarterly to provide corporate oversight and have at least 3 sub-committees defined: audit committee, executive compensation and nominating committee, and governance committee.","E-EM-01
E-EM-02" 
EM-02,Entity Management,Audit Committee,"The Audit Committee is governed by a Charter, is independent from Organization Management, composed of outside directors (Industry Experts), and meets quarterly. The Audit Committee oversees: 
Financial Statement Quality 
Enterprise Risk Management
Regulatory & Legal Compliance
Internal Audit Functions
Information Security Functions
External Audit Functions",People,Preventive,Information Systems Operations Policy,"1. Ensure documented information on the Audit Committee and Audit Committee Charter is created.

2. Ensure that the audit committee is independent and meets quarterly as defined within the charter. Document the most recent meeting in the form of an audit committee minutes.

3. Ensure that the audit committee includes outside directors (industry experts).

4. Ensure audit committee reviews financial statement quality, enterprise risk management, regulatory & legal compliance, internal and external audit function, and information security functions.

5. Follow up on any open items from previous audit committee meetings to ensure they are being worked on and closed out.","1. Inspect the Charter of the Audit Committee of the Board of Directors and meeting minutes to determine whether the Audit Committee is independent from management, and is composed of outside directors.

2. Validate that the audit committee is independent and meets quarterly as defined within the charter. 

3. Inspect the minutes of meeting audit committee.

4. Validate meeting minutes to ensure that financial statement quality, enterprise risk management, regulatory & legal compliance, internal and external audit function, and information security functions were reviewed.","E-EM-03
E-EM-04
E-EM-05
E-EM-06" 
EM-03,Entity Management,Organizational Structure,Organization Management ensures that its organization is aligned with the corporate strategy by assigning key managers with responsibilities to execute the corporate strategy.,Process,Preventive,Information Systems Operations Policy,"1. Ensure the organization has defined and documented a corporate strategy including the responsibilities for key managers.

2. Ensure the strategy is available to the respective stakeholder and is communicated effectively.","1. Validate and ensure that the organization has established and documented the strategy with the responsibilities for key managers.

2. Inspect whether the strategy is available to the respective stakeholder and is communicated effectively.",E-EM-07 
EM-04,Entity Management,Operating Plans,"Annual operating plans are aligned with Corporate Objectives, which are established on an annual basis during the Company's planning process. Priorities are set and plans are communicated appropriately.",Process,Preventive,Information Systems Operations Policy,"1. Ensure that operating plans are established. 

2. Ensure that these plans are updated and approved on an annual basis.

3. Ensure priorities are set and plans are communicated to the respective stakeholders.","1. Inspect the process of operating plans creation and update.

2. Validate that the corporate strategy is an input to operating plans update process.

3. Validate whether the plans are updated and approved at least annually and communicated to the stakeholders.","E-EM-08
E-EM-09" 
EM-05,Entity Management,Cyber Security Insurance,Organization purchases cyber security insurance to mitigate risk of material financial impact that could result from a cyber security event.,Process,Corrective,Information Systems Operations Policy,"1. Ensure cyber security insurance is being purchased by the organization and is active for the audit period.

2. Ensure that a process is created for renewal of Cyber Security Insurance.",1. Obtain and inspect the latest cyber security insurance to verify that the insurance policy is active for the audit period.,E-EM-10 
EM-06,Entity Management,Internal Audit Function,"Quarterly, the Chief Audit Executive meets with the Audit Committee to review key risk issues. The Audit Committee approves the annual Internal Audit Plan. Results of quarterly audits and subsequent issue tracking summaries are presented to the Audit Committee.",Process,Corrective,Information Systems Operations Policy,"1. Ensure key risk issues shall be reviewed at least quarterly by the audit committee and document the issues identified along with the plan of action for risk remediation.

2. Ensure the Internal audit plan is annually approved by the audit committee.

3. Ensure results of quarterly audits and issues identified as a part of audit are presented to the Audit Committee.","1. Inspect Minutes of audit committee meeting and validate that it highlights the key risks identified, plan of action along with the timeline.
 
2. Check internal audit plan to ensure it was approved by the audit committee.

3. Inspect and validate whether results of quarterly audits are presented to the audit committee.","E-EM-11
E-EM-12
E-EM-13" 
EM-07,Entity Management,Financial Control Review,Internal financial control assessment results are reported to the Audit Committee by the Chief Audit Executive on a quarterly basis and support the CEO/CFO 302/404 certifications.,Process,Preventive,Information Systems Operations Policy,1. Ensure Chief Audit committee shall report the internal financial control assessment results to the Audit Committee on a quarterly basis.,1. Inspect Minutes of the audit committee meeting to ensure internal financial control assessment results are discussed and reported on a quarterly basis.,E-EM-14 
EM-08,Entity Management,Information Security Function,"Quarterly, the Chief Security Officer meets with the Audit Committee to review key Information Security issues. Results of continuous monitoring activities and current security compliance status are presented to the Audit Committee and the Board of Directors.",Process,Preventive,Information Systems Operations Policy,"1. Ensure audit committee reviews the Information security issues at least quarterly and document the issues identified along with the plan of action for risk remediation.

2. Ensure Minutes of Meetings to be documented stating the compliance status.

3. Ensure results of continuous compliance activities and current compliance status are reported to the Audit Committee and the Board of Directors in the form of PowerPoints, documents, etc.","1. Validate whether information security issues are reviewed at least quarterly by the audit committee along with remediation plans.

2. Inspect minutes of audit committee meeting with chief security officer to ensure security compliance status along with the continuous monitoring of action plan is discussed.",E-EM-15 
EM-09,Entity Management,Information Security Compliance Review,Information Security compliance results are reported to the Audit Committee by the Chief Security Officer on a quarterly basis and support information security compliance certifications,Process,Preventive,Information Systems Operations Policy,"1. Ensure Minutes of Meetings to be documented stating the compliance results on a quarterly basis.

2. Ensure results of current security compliance status and issues identified as a part of audit are reported to the Audit Committee in the form of PowerPoints, documents, etc.",1. Obtain and inspect evidence that quarterly Information Security compliance results were reported to the Audit Committee.,E-EM-16 
EM-10,Entity Management,Common Controls Framework,"Organization maintains a Common Control Framework (CCF) that is used in the implementation of control measures as a risk mitigation strategy to support organization operations, technology infrastructure, and security management activities.",Process,Preventive,Information Security Management Standard,"1. Ensure that a control set is created to govern the organization's information security program.

2. Document the control set and ensure it is communicated with relevant stakeholders.","1. Validate whether a control framework exists for managing the organization's information security program.

2. Ensure that this control set is documented and available to relevant stakeholders.",E-EM-17 
EM-11,Entity Management,Service Agreement,"When customers sign-up for Organizations product and services, the customer is required to acknowledge a service agreement which includes considerations for protecting security, availability, confidentiality and indicates the responsibilities of the users and organizations responsibilities and commitments.",Process,Preventive,Third-Party Service Agreement,"1. Ensure that the customers acknowledge a service agreement including considerations for protecting security, availability, confidentiality.

2. Ensure that the service agreement contains responsibilities of users and the organization.","1. Validate whether customers acknowledge a service agreement.

2. Validate whether the agreement contains considerations for protecting security, availability, confidentiality.

3. Validate whether the agreement contains users and organizations responsibilities.",E-EM-18 
IAM-01,Identity and Access Management,Logical Access Provisioning,Logical access provisioning to information systems requires approval from appropriate personnel.,Process,Preventive,Access Management Procedure,"1. Design and document a process for Logical Access and requirements for access provisioning.

2. Ensure access approval logic is mandated in the access management portal accordingly.

3. Ensure that the access management portal is updated with the relevant approvers.","1. Inspect Organization Logical Access Policy and/or Standard to determine that the requirements for access provisioning were defined.

2. Inspect evidence of the workflow from access management portal showing access requires approval and is provisioned upon approval.

3. Inspect the system generated list of identity and access groups which are in-scope and associated workgroups with approvers from access management portal.

4. Inspect access provisioning system logs for a selection of users who were granted access to production systems.","E-IAM-01
E-IAM-02
E-IAM-03
" 
IAM-02,Identity and Access Management,Change of Access Notification,Changes made to system access trigger a notification that is sent to designated personnel.,Technology,Detective,Access Management Procedure,"1. Design and document a process for Logical Access and requirements for access modification.

2. Ensure that any change made to access triggers a notification in the access management portal accordingly.
","1. Inspect Organization Logical Access Policy and/or Standard to determine the requirements for access provisioning were defined.

2. Validate for a sample access change, that a notification in the access management portal was triggered to the management.
","E-IAM-01
E-IAM-04
E-IAM-05
" 
IAM-03,Identity and Access Management,Logical Access De-provisioning,"Logical access that is no longer required in the event of a termination is documented, communicated to management, and revoked.",Process,Preventive,Access Management Procedure,"1. Design and document a process for Logical Access and requirements for access de-provisioning.

2. Ensure access termination logic is mandated in the access management portal accordingly.
","1. Inspect Organizations Logical Access Account Standard to determine whether the requirements for access de-provisioning or terminations were defined.

2. Inspect the list of system generated population of terminated full-time and temporary employees and contractors from the HR system.

3. Inspect configurations to determine that user accounts are disabled after they are no longer required..

4. Inspect removals from the access management tool for a selection of terminations.","E-IAM-01
E-IAM-02
E-IAM-07
" 
IAM-04,Identity and Access Management,Logical Access De-provisioning: Notification,The People Resources system sends a notification to relevant personnel in the event of a termination of an information system user.,Technology,Preventive,Access Management Procedure,"1. Ensure that on access termination, the access management portal triggers a notification to the relevant personnel.
",1. Inspect resource management portal to check if the relevant stakeholders are informed upon an employee's termination of an information system user.,"
E-IAM-02
E-IAM-06
" 
IAM-05,Identity and Access Management,Logical Access Review,Organization performs account and access reviews on a quarterly basis; corrective action is taken where applicable.,Process,Detective,Access Management Procedure,"1. Design and document a process for Logical Access and requirements for access reviews.

2. Ensure access reviews are performed as per defined frequency.

3. Ensure that the necessary corrective action has been taken, if required.","1. Inspect Organizations Logical Access Account Standard to determine whether the requirements for access reviews were defined.

2. Inspect the access reviews reconciliation report on a quarterly basis.

3. For a sample of services, inspect the access review for the selected quarters. 

4. In case of any discrepancy, ensure that corrective action has been taken and appropriate approval is obtained from the authorized personnel.","E-IAM-01
E-IAM-08
E-IAM-09
" 
IAM-06,Identity and Access Management,Role Change: Access De-provisioning,"Upon notification of an employee reassignment or transfer, management reviews the employee's access for appropriateness. Access that is no longer required is revoked and documented.",Process,Preventive,Access Management Procedure,"1. Design and document a process for Logical Access and requirements for access modification in case of transfer or reassignment.

2. Ensure access reviews are performed appropriately.

3. Ensure that the necessary corrective action has been taken, if required.","1. Inspect Organizations Logical Access Account Standard to determine whether the requirements for access modifications were defined and includes the case of employee reassignment or transfer.

2. Inspect the user access reconciliation report to ensure that the user access reviews are completed appropriately.

3. In case of any discrepancy, ensure that corrective action has been taken inspect the list of terminated users from the audit period.

4. For a sample of terminated users, validate that access was terminated in a timely and appropriate manner.","E-IAM-01
E-IAM-08
E-IAM-09
" 
IAM-07,Identity and Access Management,Shared Logical Accounts,Organization restricts the use of shared and group authentication credentials. Authentication credentials for shared and group accounts are reset every 90 days.,Process,Preventive,Access Management Procedure,"1. Design and document a process for Logical Access and requirements for rotation of shared credentials.

2. Ensure that shared secrets were rotated as per the defined policy.","1. Inspect the Logical Access Account Standard to determine whether Organization requires the restriction of shared and group authentication credentials, and that authentication credentials are rotated

2. For a sample of services validate that shared secrets were rotated as per the defined policy and appropriate evidences are available.","E-IAM-01
E-IAM-10

" 
IAM-08,Identity and Access Management,Shared Logical Accounts: Group Member ,Passwords for shared and group accounts are reset when a member of the shared group leaves.,Process,Preventive,Access Management Procedure,"1. Design and document a process for Password Policy and requirements for changing password of shared and group accounts.

2. Ensure that the password is changed if a member of the shared group leaves.","1. Inspect Organization's password policy and check requirement for changing the password for shared and group accounts are clearly defined.

2. Inspect shared credential storage tools to check the operational effectiveness and ensure passwords are changed when a member of the shared group leaves.","E-IAM-16
E-IAM-11

" 
IAM-09,Identity and Access Management,Shared Account Restrictions,"Where applicable, the use of generic and shared accounts to administer systems or perform critical functions is prohibited; generic user IDs are disabled or removed.",Process,Preventive,Access Management Procedure,"1. Ensure that there are no generic or shared accounts used.

2. Ensure that production access is controlled and does not use generic or shared accounts.","1. Review and ensure that there are no generic or shared accounts.

2. Validate for a sample of services that production access is controlled and is configured to use unique user accounts and that a generic or shared ID is not used..","E-IAM-12
E-IAM-13" 
IAM-10,Identity and Access Management,Role Change: People Resources Notification,The People Resources system sends a notification to relevant management and relevant information system administrators in the event of an employee reassignment or transfer of an information system user.,Technology,Preventive,Access Management Procedure,"1. Design and document a process for Logical Access and requirements for access modification in case of transfer or reassignment.

2. Ensure access management portal sends a notification to concerned personnel.",1. Inspect resource management portal to check if the relevant stakeholders are informed upon an event of an employee reassignment or transfer of an information system user.,"E-IAM-01
E-IAM-02
E-IAM-04
E-IAM-15" 
IAM-11,Identity and Access Management,Temporary Account Termination,Temporary and emergency accounts are automatically terminated 90 days from the date they are generated.,Technology,Preventive,Access Management Procedure,"1. Design and document a process for Access control and requirements for automatic termination of temporary and emergency accounts.

2. Ensure that the access management portal is configured to terminate temporary and emergency accounts within 90 days.","1. Inspect Organization's access control policy to check policy pertaining to temporary and emergency accounts are automatically terminated 90 days from the date they are generated, is clearly defined. 

2. Check the access management tool to ensure the effectiveness of termination of temporary and emergency accounts within 90 days..","E-IAM-01
E-IAM-14" 
IAM-12,Identity and Access Management,Unique Identifiers,Organization requires unique identifiers for user accounts and prevents identifier reuse.,Process,Preventive,Access Management Procedure,1. Ensure unique identifiers are used for user accounts.,"1. Inspect Organization's Authentication Standard to determine whether unique identifier requirements are documented.

2. Perform a walkthrough of user account creation of an existing user to determine whether identifier reuse is prevented.

3. Obtain a complete list of existing users with identifiers to determine whether same identifier is not used for any two users.","E-IAM-16
E-IAM-02
E-IAM-17
" 
IAM-13,Identity and Access Management,Password Authentication,User and device authentication to privileged information systems is protected by passwords that meet Organization's password complexity requirements.,Technology,Preventive,Access Management Procedure,1. Ensure that user and device authentication to privileged information systems is protected by passwords that meet Organization's password complexity requirements.,"1. Inspect Organizations Authentication Standard to determine whether the policies contain requirements for the creation, allocation, change, distribution, and safeguarding of passwords.

2. Inspect the accessmanagement tool setting to determine password complexity, consecutive re-use, and change frequency requirements of passwords is in accordance with organization password complexity requirements.","E-IAM-16
E-IAM-18
" 
IAM-14,Identity and Access Management,Multifactor Authentication,"Multi-factor authentication is required for:
 remote VPN sessions
 access to trusted data environments",Technology,Preventive,Access Management Procedure,1. Ensure remote connection to the corporate network is invoked via VPN and VPN in turn invokes Multi-factor authentication,"1. Inspect Organizations Remote Access Standard to determine whether requirements for remotely connecting to the corporate network are defined.

2. Observe a user remotely connect to the Organization Corporate Network via VPN.

3. Inspect system configuration of VPN software to determine whether Multi-factor authentication is required.

4. Perform a walkthrough of system connecting to Organization network remotely via vpn software to determine whether Multi- factor authentication is required for remote VPN session.","E-IAM-19
E-IAM-20
E-IAM-21
" 
IAM-15,Identity and Access Management,Authentication Credential Maintenance,Authorized personnel verify the identity of users before modifying authentication credentials on their behalf.,Process,Preventive,Access Management Procedure,"1. Document and validate the process of modifying credentials.

2. Ensure that verification is done before modification","1. Validate the process with the IT Helpdesk at least on an annual basis.

2. Inspect whether necessary and updated documentation is available on the process.","E-IAM-22
" 
